timestamp,signal
2022-03-28T09:49:48.146033+02:00,-73
2022-03-28T09:49:48.146636+02:00,-59
2022-03-28T09:49:48.147079+02:00,-65
2022-03-28T09:49:48.147482+02:00,-69
2022-03-28T09:49:48.147896+02:00,-38
2022-03-28T09:49:48.148305+02:00,7
2022-03-28T09:49:48.148723+02:00,27
2022-03-28T09:49:48.149100+02:00,29
2022-03-28T09:49:48.149492+02:00,25
2022-03-28T09:49:48.168750+02:00,24
2022-03-28T09:49:48.169274+02:00,41
2022-03-28T09:49:48.169555+02:00,68
2022-03-28T09:49:48.169819+02:00,83
2022-03-28T09:49:48.170076+02:00,76
2022-03-28T09:49:48.170333+02:00,44
2022-03-28T09:49:48.170589+02:00,7
2022-03-28T09:49:48.170847+02:00,11
2022-03-28T09:49:48.171120+02:00,42
2022-03-28T09:49:48.171382+02:00,59
2022-03-28T09:49:48.171634+02:00,53
2022-03-28T09:49:48.171887+02:00,44
2022-03-28T09:49:48.193716+02:00,32
2022-03-28T09:49:48.194292+02:00,-3
2022-03-28T09:49:48.194662+02:00,-11
2022-03-28T09:49:48.194993+02:00,11
2022-03-28T09:49:48.195386+02:00,37
2022-03-28T09:49:48.195709+02:00,52
2022-03-28T09:49:48.196029+02:00,65
2022-03-28T09:49:48.196481+02:00,87
2022-03-28T09:49:48.196845+02:00,103
2022-03-28T09:49:48.197310+02:00,117
2022-03-28T09:49:48.197641+02:00,149
2022-03-28T09:49:48.197960+02:00,179
2022-03-28T09:49:48.198273+02:00,184
2022-03-28T09:49:48.226519+02:00,178
2022-03-28T09:49:48.227044+02:00,153
2022-03-28T09:49:48.227525+02:00,125
2022-03-28T09:49:48.227856+02:00,112
2022-03-28T09:49:48.228214+02:00,102
2022-03-28T09:49:48.228678+02:00,107
2022-03-28T09:49:48.229034+02:00,108
2022-03-28T09:49:48.229376+02:00,97
2022-03-28T09:49:48.229831+02:00,93
2022-03-28T09:49:48.230187+02:00,90
2022-03-28T09:49:48.230528+02:00,83
2022-03-28T09:49:48.230923+02:00,80
2022-03-28T09:49:48.241129+02:00,66
2022-03-28T09:49:48.241601+02:00,48
2022-03-28T09:49:48.241964+02:00,41
2022-03-28T09:49:48.242309+02:00,28
2022-03-28T09:49:48.242649+02:00,21
2022-03-28T09:49:48.242990+02:00,32
2022-03-28T09:49:48.243395+02:00,45
2022-03-28T09:49:48.243800+02:00,59
2022-03-28T09:49:48.244152+02:00,64
2022-03-28T09:49:48.244522+02:00,58
2022-03-28T09:49:48.244986+02:00,60
2022-03-28T09:49:48.245335+02:00,65
2022-03-28T09:49:48.245673+02:00,64
2022-03-28T09:49:48.266169+02:00,64
2022-03-28T09:49:48.266675+02:00,77
2022-03-28T09:49:48.267013+02:00,100
2022-03-28T09:49:48.267323+02:00,105
2022-03-28T09:49:48.267628+02:00,92
2022-03-28T09:49:48.267934+02:00,71
2022-03-28T09:49:48.268263+02:00,56
2022-03-28T09:49:48.268711+02:00,60
2022-03-28T09:49:48.269032+02:00,82
2022-03-28T09:49:48.269339+02:00,87
2022-03-28T09:49:48.269641+02:00,66
2022-03-28T09:49:48.269942+02:00,55
2022-03-28T09:49:48.289913+02:00,85
2022-03-28T09:49:48.290376+02:00,103
2022-03-28T09:49:48.290706+02:00,102
2022-03-28T09:49:48.291015+02:00,89
2022-03-28T09:49:48.291323+02:00,75
2022-03-28T09:49:48.291629+02:00,83
2022-03-28T09:49:48.291933+02:00,108
2022-03-28T09:49:48.292384+02:00,131
2022-03-28T09:49:48.292729+02:00,137
2022-03-28T09:49:48.293037+02:00,112
2022-03-28T09:49:48.293402+02:00,89
2022-03-28T09:49:48.293770+02:00,97
2022-03-28T09:49:48.294079+02:00,108
2022-03-28T09:49:48.316164+02:00,123
2022-03-28T09:49:48.316643+02:00,134
2022-03-28T09:49:48.316983+02:00,141
2022-03-28T09:49:48.317407+02:00,149
2022-03-28T09:49:48.317734+02:00,160
2022-03-28T09:49:48.318042+02:00,160
2022-03-28T09:49:48.318428+02:00,139
2022-03-28T09:49:48.319015+02:00,119
2022-03-28T09:49:48.319456+02:00,122
